x1, v1, x2, v2, x3, v3
0.000196871,0.000857139,0.000391174,0.00146672,0,0.00153759,
0.000207759,0.000944766,0.00040973,0.0016244,0,0.00169666,
0.000219666,0.00102997,0.000430526,0.00183897,0,0.00191936,
0.000232737,0.0011414,0.000454267,0.00211448,0,0.00220802,
0.000246811,0.00120291,0.000481048,0.00234543,0,0.00245489,
0.000260733,0.00112671,0.000509495,0.00239317,0,0.0025178,
0.000274296,0.00114249,0.000538621,0.00246002,0,0.00259499,
0.000288111,0.00116654,0.000568271,0.00248145,0,0.00262115,
0.000302415,0.00121941,0.000598189,0.00250525,0,0.00264546,
0.000316728,0.00116967,0.000627697,0.00241353,0,0.00255198,
0.000329949,0.0010409,0.00065546,0.00221481,0,0.00234939,
0.000341046,0.000820879,0.000679975,0.00187348,0,0.00200072,
0.00034937,0.000580613,0.000699863,0.00144476,0,0.00155929,
0.000355183,0.000397908,0.000714635,0.00102197,0,0.001118,
0.000358534,0.000169002,0.000723895,0.000526623,0,0.000599988,
0.000358548,-0.000155838,0.000726475,-9.07553e-05,0,-4.30138e-05,
0.000354842,-0.000452732,0.000721652,-0.000706579,0,-0.000687395,
0.000348349,-0.000628227,0.00071021,-0.00119426,0,-0.00120525,
0.00034013,-0.000747207,0.000693574,-0.00157315,0,-0.0016125,
0.000330835,-0.000812606,0.000673211,-0.00181699,0,-0.00187942,
0.000320613,-0.000900338,0.000650299,-0.00199962,0,-0.0020778,
0.00030835,-0.0011418,0.000624492,-0.00230003,0,-0.00238781,
0.000292853,-0.00142983,0.000594598,-0.00268021,0,-0.00277638,
0.000273568,-0.0017659,0.000559366,-0.00318814,0,-0.00329672,
0.000250195,-0.00210897,0.000517393,-0.00380156,0,-0.00393023,
0.000222784,-0.00244143,0.000467604,-0.00448934,0,-0.00464677,
0.000192495,-0.00260166,0.000410428,-0.00503214,0,-0.00522476,
0.000160701,-0.00270325,0.000347407,-0.00546441,0,-0.00569268,
0.00012873,-0.00264426,0.000280889,-0.00561746,0,-0.00587539,
9.67376e-05,-0.00270412,0.000212666,-0.00575115,0,-0.00602756,
6.57595e-05,-0.00248453,0.000145351,-0.00546893,0,-0.00575166,
4.03832e-05,-0.00179327,8.559e-05,-0.00449668,0,-0.00476988,
2.33706e-05,-0.00109361,3.92344e-05,-0.00324018,0,-0.00348109,
1.18075e-05,-0.000854173,6.16028e-06,-0.00228598,0,-0.00247265,
1.88309e-06,-0.000790756,-1.68455e-05,-0.00156111,0,-0.00168503,
-8.27975e-06,-0.000870018,-3.33019e-05,-0.0011903,0,-0.00125927,
-1.93781e-05,-0.000939476,-4.69667e-05,-0.00109045,0,-0.00112455,
-3.1215e-05,-0.000997841,-6.09069e-05,-0.00123129,0,-0.00125467,
-4.38017e-05,-0.0010749,-7.77064e-05,-0.00156359,0,-0.00159737,
-5.7876e-05,-0.00125365,-9.96823e-05,-0.00209205,0,-0.00215084,
-7.50325e-05,-0.0015903,-0.000129278,-0.00283232,0,-0.00292501,
-9.76578e-05,-0.00215809,-0.000169538,-0.00386797,0,-0.00400112,
-0.000127816,-0.00284013,-0.000223508,-0.00511532,0,-0.00529687,
-0.000167253,-0.00369612,-0.000294272,-0.00666443,0,-0.00690479,
-0.000215162,-0.00426754,-0.000382492,-0.00802275,0,-0.00833338,
-0.000267399,-0.00444761,-0.000484297,-0.0089299,0,-0.00931495,
-0.000320824,-0.00448697,-0.000594834,-0.00948213,0,-0.00993218,
-0.000375606,-0.0046719,-0.000711349,-0.00993112,0,-0.0104267,
-0.000433762,-0.00503263,-0.000833332,-0.0103963,0,-0.0109182,
-0.000495906,-0.00532564,-0.000960174,-0.010742,0,-0.0112784,
-0.000561883,-0.00565908,-0.00109155,-0.0111519,0,-0.0116992,
-0.00063198,-0.00600466,-0.00122842,-0.0116561,0,-0.0122175,
-0.000706964,-0.00646497,-0.00137277,-0.0123952,0,-0.0129788,
-0.000780609,-0.0058373,-0.00151926,-0.012015,0,-0.0126276,
-0.000835976,-0.00352893,-0.0016478,-0.00941428,0,-0.0100361,
-0.000865105,-0.00148794,-0.0017412,-0.00617647,0,-0.00674631,
-0.000875863,-0.000407336,-0.00179738,-0.00322267,0,-0.00366698,
-0.000876293,0.000304003,-0.00181923,-0.000459311,0,-0.000730291,
-0.000870002,0.000774808,-0.00181091,0.00181148,0,0.00172223,
-0.000857111,0.00142621,-0.00177719,0.00378205,0,0.00384936,
-0.000834333,0.0024074,-0.00172052,0.00564369,0,0.00582837,
-0.000798696,0.00354061,-0.0016421,0.00741308,0,0.00768189,
-0.000749073,0.00471059,-0.00154246,0.00917994,0,0.00951558,
-0.00068754,0.00552381,-0.00142342,0.0106473,0,0.0110474,
